"name","name_simbadable","raj2000","decj2000"
"PSO J000.2794+16.6237","Gaia DR2 2772504778021649152",0.2792,16.6241
"SDSS J000112.18+153535.5","2MASS J00011217+1535355",0.3007,15.5932
"ULAS J000613.24+154020.7","BRLT 1",1.5552,15.6723
"SDSS J000614.06+160454.5","2MASS J00061406+1604546",1.5586,16.0818
"WISEA J000627.85+185728.8","2MASS J00062779+1857320",1.6158,18.9587
"SDSS J000646.81+151225.8","2MASS J00064683+1512260",1.695,15.2072
"ULAS J002136.01+155227.3","ULAS J002136.01+155227.3",5.4,15.8749
"2MASSI J0028394+150141","2MASSI J0028394+150141",7.1643,15.0282
"WISEA J002909.90+190516.6","WISEA J002909.90+190516.6",7.2912,19.0888
"2MASSW J0036159+182110","LSPM J0036+1821",9.0671,18.3529
