"name","name_simbadable","raj2000","decj2000"
"SDSS J024749.90-163112.6","2MASS J02474978-1631132",41.9576,-16.5203
"BR B0246-1703","LP  771-21",42.1708,-16.8561
"CFBDS J025401.67-182529.2","CFBDS J025401-182529",43.5065,-18.4249
"2MASS J02540582-1934523","2MASS J02540582-1934523",43.5243,-19.5812
"CFBDS J025558.46-173020.2","CFBDS J025558-173020",43.9937,-17.5059
"2MASS J02583123-1520536","2MASS J02583123-1520536",44.63,-15.3484
"CFBDS J025840.60-182648.3","CFBDS J025840-182648",44.6691,-18.4469
"CFBDS J030135.11-161418.0","CFBDS J030135-161418",45.3955,-16.2385
"2MASSW J0309088-194938","2MASSW J0309088-194938",47.2871,-19.8275
"CFBDS J030922.29-161426.1","CFBDS J030922-161426",47.343,-16.2406
