"name","name_simbadable","raj2000","decj2000"
"2MASS J13204159+0957506","2MASS J13204159+0957506",200.1734,9.9641
"ULAS J132125.90+073549.4","ULAS J132125.90+073549.4",200.3554,7.5978
"SDSS J132511.10+051704.2","2MASS J13251108+0517041",201.2962,5.2845
"SDSS J132715.21+075937.5","2MASS J13271524+0759375",201.8136,7.9938
"SDSS J132834.72+080819.0","2MASS J13283475+0808196",202.1448,8.1386
"PM I13410+0542B","2MASS J13410235+0542489",205.2598,5.7135
"ULAS J134403.78+083951.0","SDSS J134403.83+083950.9",206.0162,8.664
"ULAS J134414.90+092405.0","BRLT 218",206.0619,9.4013
"SDSS J134607.41+084234.5","2MASS J13460746+0842346",206.5311,8.7096
"ULAS J134612.77+082503.3","BRLT 220",206.5533,8.4176
"ULAS J134940.81+091833.3","ULAS J134940.81+091833.3",207.4203,9.3094
"ULAS J135058.86+081506.8","ULAS J135058.85+081506.8",207.7457,8.2523
"ULAS J135556.12+085054.3","BRLT 227",208.984,8.8486
"ULAS J135607.41+085345.2","ULAS J135607.41+085345.2",209.0311,8.8955
"ULAS J135950.14+062553.9","ULAS J135950.14+062553.9",209.9589,6.4316
