"name","name_simbadable","raj2000","decj2000"
"SDSS J140307.47+201859.3","SDSS J140307.47+201859.3",210.7814,20.3163
"SDSS J141126.20+200911.1B",,212.8593,20.1531
"2MASS J14122268+2354108","2MASS J14122268+2354108",213.0945,23.903
"SDSS J142058.30+213156.6","2MASS J14205843+2131555",215.2434,21.5321
"SDSS J142227.25+221557.1","2MASS J14222720+2215575",215.6134,22.2659
"SDSS J142241.28+234011.8","2MASS J14224128+2340118",215.6721,23.67
"2MASS J14343616+2202463","2MASS J14343616+2202463",218.6507,22.0462
